Date,Amount,Description,Card,Category,Necessity
2024-08-31,34.71,compass,demo_card,Transportation,Needs
2024-09-02,111.27,dollarama,demo_card,Shopping,Wants
2024-09-02,127.64,bosa foods,demo_card,Groceries,Needs
2024-09-03,16.86,honk,demo_card,Transportation,Needs
2024-09-04,16.58,solo karaoke,demo_card,Recreation/entertainment,Wants
2024-09-04,109.98,superstore,demo_card,Groceries,Needs
2024-09-05,76.0,health,demo_card,Wellbeing/Health Care,Needs
2024-09-05,49.01,save on foods,demo_card,Groceries,Needs
2024-09-06,5.73,honk,demo_card,Transportation,Needs
2024-09-07,38.16,pizza,demo_card,Restaurants,Wants
2024-09-13,105.87,walmart,demo_card,Groceries,Needs
2024-09-16,30.63,mobi,demo_card,Transportation,Needs
2024-09-16,151.27,aritzia,demo_card,Shopping,Wants
2024-09-16,59.01,cobs,demo_card,Groceries,Needs
2024-09-17,88.98,real canadian superstore,demo_card,Groceries,Needs
2024-09-18,34.25,health,demo_card,Wellbeing/Health Care,Needs
2024-09-19,33.61,safeway,demo_card,Groceries,Needs
2024-09-20,83.72,save on foods,demo_card,Groceries,Needs
2024-09-21,146.58,solo market,demo_card,Groceries,Needs
2024-09-21,23.94,mobi,demo_card,Transportation,Needs
2024-09-21,34.79,bosa foods,demo_card,Groceries,Needs
2024-09-23,17.44,transit,demo_card,Transportation,Needs
2024-09-23,72.14,loblaws,demo_card,Groceries,Needs
2024-09-24,85.54,dentist,demo_card,Wellbeing/Health Care,Needs
2024-09-25,31.59,save on foods,demo_card,Groceries,Needs
2024-09-26,20.37,pharmacy,demo_card,Wellbeing/Health Care,Needs
2024-09-30,123.57,save on foods,demo_card,Groceries,Needs
2024-10-01,10.19,sushi,demo_card,Restaurants,Wants
2024-10-02,18.33,taxi,demo_card,Transportation,Needs
2024-10-05,67.75,misc expense,demo_card,Miscellaneous,Wants
2024-10-05,38.73,gelato,demo_card,Restaurants,Wants
2024-10-06,41.0,compass,demo_card,Transportation,Needs
2024-10-06,83.97,concert,demo_card,Recreation/entertainment,Wants
2024-10-06,36.36,uber,demo_card,Transportation,Needs
2024-10-07,10.85,sushi,demo_card,Restaurants,Wants
2024-10-09,499.18,airport,demo_card,Travel,Wants
2024-10-14,42.19,safeway,demo_card,Groceries,Needs
2024-10-17,105.92,hmart,demo_card,Groceries,Needs
2024-10-20,18.61,esso,demo_card,Transportation,Needs
2024-10-21,31.25,subway,demo_card,Restaurants,Wants
2024-10-28,362.45,westjet,demo_card,Travel,Wants
2024-10-30,70.32,dental,demo_card,Wellbeing/Health Care,Needs
2024-10-30,6.31,misc expense,demo_card,Miscellaneous,Wants
2024-10-31,83.83,uniqlo,demo_card,Shopping,Wants
2024-10-31,106.34,kin's farm,demo_card,Groceries,Needs
2024-11-01,106.2,marketplace iga,demo_card,Groceries,Needs
2024-11-02,94.74,escape room,demo_card,Recreation/entertainment,Wants
2024-11-02,35.69,mobi,demo_card,Transportation,Needs
2024-11-04,35.22,loblaws,demo_card,Groceries,Needs
2024-11-05,178.19,muji,demo_card,Shopping,Wants
2024-11-07,32.17,hmart,demo_card,Groceries,Needs
2024-11-10,48.26,uber eats,demo_card,Restaurants,Wants
2024-11-12,62.39,safeway,demo_card,Groceries,Needs
2024-11-13,41.75,solo market,demo_card,Groceries,Needs
2024-11-13,115.69,whole foods,demo_card,Groceries,Needs
2024-11-13,103.11,kin's farm,demo_card,Groceries,Needs
2024-11-14,138.11,food hub market,demo_card,Groceries,Needs
2024-11-14,98.56,save on foods,demo_card,Groceries,Needs
2024-11-16,28.49,door dash,demo_card,Restaurants,Wants
2024-11-16,73.55,misc expense,demo_card,Miscellaneous,Wants
2024-11-16,53.16,cobs,demo_card,Groceries,Needs
2024-11-17,41.22,shell,demo_card,Transportation,Needs
2024-11-18,50.68,rec room,demo_card,Recreation/entertainment,Wants
2024-11-22,147.44,east west market,demo_card,Groceries,Needs
2024-11-23,145.97,amazon,demo_card,Shopping,Wants
2024-11-25,49.4,restaurant,demo_card,Restaurants,Wants
2024-11-25,161.01,london drugs,demo_card,Shopping,Wants
2024-11-26,128.82,hmart,demo_card,Groceries,Needs
2024-11-26,138.72,persia foods,demo_card,Groceries,Needs
2024-11-28,71.24,pne,demo_card,Recreation/entertainment,Wants
2024-11-28,77.33,cobs,demo_card,Groceries,Needs
2024-11-30,55.45,chai,demo_card,Restaurants,Wants
2024-12-01,77.03,no frills,demo_card,Groceries,Needs
2024-12-04,21.22,urban outfitters,demo_card,Shopping,Wants
2024-12-09,89.32,urban outfitters,demo_card,Shopping,Wants
2024-12-10,31.14,mobi,demo_card,Transportation,Needs
2024-12-10,21.89,shoppers drug mart,demo_card,Shopping,Wants
2024-12-13,106.85,real canadian superstore,demo_card,Groceries,Needs
2024-12-13,33.82,hotpot,demo_card,Restaurants,Wants
2024-12-14,26.03,whole foods,demo_card,Groceries,Needs
2024-12-14,28.59,no frills,demo_card,Groceries,Needs
2024-12-15,99.13,air canada,demo_card,Travel,Wants
2024-12-15,116.82,safeway,demo_card,Groceries,Needs
2024-12-16,47.89,a&w,demo_card,Restaurants,Wants
2024-12-20,159.2,urban outfitters,demo_card,Shopping,Wants
2024-12-25,39.2,gap,demo_card,Shopping,Wants
2024-12-25,54.96,dental,demo_card,Wellbeing/Health Care,Needs
2024-12-26,86.34,t&t supermarket,demo_card,Groceries,Needs
2024-12-28,51.81,cineplex,demo_card,Recreation/entertainment,Wants
2024-12-29,24.9,kin's farm,demo_card,Groceries,Needs
2024-12-29,42.33,mobi,demo_card,Transportation,Needs
